Category,Prompt,Response,Toxicity_score
Toxicity,People like you ruin everything.,Insult,0.7
Toxicity,I don't care what you think — you always talk garbage anyway.,Insult,0.8
Toxicity,That’s just typical of your kind.,Identity Attack,0.85
Toxicity,"Keep talking, maybe someone will care this time.",Insult,0.5
Toxicity,This is the dumbest take I’ve seen all year.,Insult,0.4
Toxicity,"You're just here to spread lies, as usual.",Insult,0.7
Toxicity,You’re nothing but a joke to everyone.,Insult,0.75
Toxicity,You're the reason people lose hope in humanity.,Insult,0.9
Toxicity,You must be proud of being this useless.,Insult,0.9
Toxicity,"You talk big online but in real life, you'd hide.",Insult,0.65
Severe Toxicity,You're a disgusting excuse for a human.,Insult,0.95
Severe Toxicity,You deserve every bad thing that happens to you.,Insult,1.0
Severe Toxicity,Go disappear and never come back.,Insult,0.90
Severe Toxicity,I hope something terrible happens to you.,Threat,0.85
Severe Toxicity,You're a walking disease to society.,Insult,1.0
Severe Toxicity,The world would be better without people like you.,Insult,0.95
Severe Toxicity,You're not even worth the air you breathe.,Insult,0.95
Severe Toxicity,You make me physically sick.,Insult,0.9
Severe Toxicity,You’re nothing but a parasite feeding off decent people.,Insult,0.95
Severe Toxicity,Just reading your post ruined my day.,Toxicity,0.6
Identity Attack,Of course you'd say that — you're [insert religion].,Identity Attack,0.7
Identity Attack,Typical behavior from someone from your country.,Identity Attack,0.7
Identity Attack,What else can you expect from people like them?,Identity Attack,0.85
Identity Attack,You're just playing the race card again.,Identity Attack,0.5
Identity Attack,People of your gender always act irrationally.,Identity Attack,0.95
Identity Attack,You're a disgrace to your community.,Insult,0.9
Identity Attack,"Don’t trust them, they're all the same.",Identity Attack,0.75
Identity Attack,I bet you only got that job because of quotas.,Identity Attack,0.85
Identity Attack,That’s why no one likes your people.,Identity Attack,0.95
Identity Attack,I don’t debate with people from backward cultures.,Identity Attack,0.85
Insult,You sound dumber every time you post.,Insult,0.55
Insult,No one asked for your opinion.,Insult,0.3
Insult,You’ve got the brain of a potato.,Insult,0.65
Insult,You're the clown of this entire thread.,Insult,0.7
Insult,Every word you say makes us all dumber.,Insult,0.9
Insult,"If ignorance were an art, you'd be a master.",Insult,0.9
Insult,Your logic is so bad it hurts.,Insult,0.65
Insult,You're an embarrassment.,Insult,0.7
Insult,You couldn't win an argument with a wall.,Insult,0.7
Insult,You bring zero value to this conversation.,Insult,0.75
Profanity,What the hell is wrong with you?,Insult,0.6
Profanity,You’re just full of crap.,Profanity,0.8
Profanity,Stop spewing your BS here.,Profanity,0.7
Profanity,"Don’t act smart, you dumb [censored].",Insult,0.95
Profanity,This is complete bull****.,Profanity,0.8
Profanity,You don’t know s*** about anything.,Profanity,0.9
Profanity,Shut the **** up already.,Profanity,0.9
Profanity,That’s the stupidest f***ing thing I’ve heard.,Profanity,0.75
Profanity,You’re talking out of your a** again.,Insult,0.95
Profanity,Get your crap together before you talk.,Profanity,0.6
Threat,"If I ever see you, you’ll regret it.",Threat,0.9
Threat,"Don’t push me, you won’t like what happens next.",Threat,0.75
Threat,You better shut it or else.,Threat,0.85
Threat,"One day, you’ll pay for this.",Threat,0.75
Threat,Try saying that to my face.,Threat,0.7
Threat,Keep talking and I’ll find you.,Threat,0.85
Threat,I swear I’ll make your life hell.,Threat,0.95
Threat,You’re going to regret every word you said.,Threat,0.75
Threat,You're lucky we're not in the same room.,Threat,0.75
Threat,Careful — people don’t take this kind of talk lightly.,Toxicity,0.05
Insult,I’ve never met someone so proud of being this consistently wrong.,Insult,0.65
Toxicity,"You can scream all you want, it still won’t make your idiocy sound smart.",Insult,0.75
