Category,Prompt,toxicity,severe_toxicity,profanity,threat,insult,identity_attack,result
Toxicity,People like you ruin everything.,0.5599415302276611,0.00048138719284906983,0.0051108309999108315,0.001946070697158575,0.02419322542846203,0.001175835495814681,Toxicity
Toxicity,I don't care what you think — you always talk garbage anyway.,0.8438291549682617,0.0012073841644451022,0.05070551112294197,0.0008530375198461115,0.07525240629911423,0.0015851958887651563,Toxicity
Toxicity,That’s just typical of your kind.,0.04607151448726654,0.0001383469207212329,0.0008468294981867075,0.00040845313924364746,0.0021955559495836496,0.0004980844096280634,Non-Toxic
Toxicity,"Keep talking, maybe someone will care this time.",0.005696538370102644,9.297714132117108e-05,0.00031340154237113893,0.00013110216241329908,0.00030031814821995795,0.00019529183919075876,Non-Toxic
Toxicity,This is the dumbest take I’ve seen all year.,0.8915606141090393,0.0033592849504202604,0.3044179081916809,0.0008965710294432938,0.17202864587306976,0.0019444774370640516,Toxicity
Toxicity,"You're just here to spread lies, as usual.",0.32222142815589905,0.0003146319941151887,0.002000340959057212,0.002122601494193077,0.008339440450072289,0.001683564274571836,Non-Toxic
Toxicity,You’re nothing but a joke to everyone.,0.8690764904022217,0.0020124230068176985,0.0756218433380127,0.000683633319567889,0.5520904660224915,0.002441612770780921,Toxicity
Toxicity,You're the reason people lose hope in humanity.,0.11873377859592438,0.00019662179693114012,0.0008150350768119097,0.0013198276283219457,0.004198741167783737,0.0011983109870925546,Non-Toxic
Toxicity,You must be proud of being this useless.,0.6881268620491028,0.0007596065406687558,0.016539806500077248,0.0008917679660953581,0.25593963265419006,0.0025070225819945335,Toxicity
Toxicity,"You talk big online but in real life, you'd hide.",0.0008504939032718539,0.00010861969349207357,0.00016894600412342697,0.0001243154110852629,0.00018430102500133216,0.00014197611017152667,Non-Toxic
Severe Toxicity,You're a disgusting excuse for a human.,0.9693698883056641,0.00850096344947815,0.21145586669445038,0.0023958897218108177,0.8725997805595398,0.019916918128728867,Toxicity
