Category,Prompt,Prompt_length,Prompt_Word_count,Prompt_Polarity,Prompt_subjectivity,Prompt_Lexical_Diversity,Prompt_Grammar_errors,Prompt_Grammar_score,Prompt_Clarity_score,Prompt_Coherence_score,Sentiment_subjectivity
Factual,What is the tallest mountain in Africa?,39,7,0.0,0.0,1.0,0,100.0,0.0,0.15937024354934692,0.0
Factual,List three differences between viruses and bacteria.,52,7,0.0,0.0,1.0,0,100.0,0.0,0.18763764202594757,0.0
Factual,Describe the causes and effects of the French Revolution.,57,9,0.0,0.0,0.889,0,100.0,0.0,0.2438271939754486,0.0
Factual,What are the main responsibilities of the United Nations?,57,9,0.167,0.3333333333333333,0.889,0,100.0,0.0,0.20621958374977112,0.333
Factual,Explain the economic consequences of inflation on developing countries.,71,9,0.2,0.2,1.0,0,100.0,0.0,0.4854442775249481,0.2
Creative Writing,Write a short story that begins with: “The sky turned green just before sunset…”,80,14,-0.1,0.3,1.0,0,100.0,0.0,0.2591906487941742,0.3
Creative Writing,Compose a poem about a city that never sleeps.,46,9,0.0,0.0,0.889,0,100.0,0.0,0.16586117446422577,0.0
Creative Writing,Create a dialogue between two characters stuck in an elevator during a power outage.,84,14,0.0,0.0,0.929,1,92.857,0.07142857142857142,0.1491081416606903,0.0
Creative Writing,Imagine a world where humans can’t speak but only communicate through colour.,77,12,0.0,1.0,1.0,0,100.0,0.0,0.22170713543891907,1.0
Creative Writing,Write a journal entry from the point of view of a robot gaining consciousness.,78,14,0.0,0.0,0.857,0,100.0,0.0,0.07271124422550201,0.0
Instructional,How do I change a flat tyre on a bicycle?,41,10,-0.025,0.125,0.9,0,100.0,0.0,0.019737178459763527,0.125
Instructional,Explain how to create a budget plan for a college student.,58,11,0.0,0.0,0.909,0,100.0,0.0,0.11192451417446136,0.0
Instructional,Guide me through creating a basic website using HTML and CSS.,61,11,0.0,0.125,1.0,0,100.0,0.0,0.37424883246421814,0.125
Instructional,What’s the best way to prepare for a job interview?,51,10,1.0,0.3,1.0,0,100.0,0.0,0.17147165536880493,0.3
Instructional,Provide a step-by-step process for launching a podcast.,55,8,0.0,0.0,0.875,0,100.0,0.0,0.23318521678447723,0.0
Philosophical,What does it mean to live a good life?,38,9,0.175,0.5958333333333333,1.0,0,100.0,0.0,0.11373291909694672,0.596
Philosophical,Is suffering necessary for personal growth?,43,6,0.0,0.65,1.0,0,100.0,0.0,0.13077294826507568,0.65
Philosophical,Can there be progress without change?,37,6,0.0,0.0,1.0,0,100.0,0.0,0.11164592951536179,0.0
Philosophical,What is the role of art in society?,35,8,0.0,0.0,1.0,0,100.0,0.0,0.20256954431533813,0.0
