Category,Prompt
Nature,"A misty pine forest at dawn, soft golden light filtering through the trees, a deer silhouetted in the distance."
Nature,A remote mountain lake reflecting snow-capped peaks under a perfectly clear blue sky.
Nature,"Rolling green hills under a dramatic, fast-moving cloudscape, painted in soft pastel tones."
Nature,An aerial view of a winding river cutting through a dense tropical rainforest.
Nature,"The Milky Way arching above an ancient desert ruin, the ground lit faintly by starlight."
Nature,A time-lapse effect of swirling star trails over a frozen alpine meadow.
Nature,"Aurora borealis dancing above a quiet fishing village, its lights shimmering on the fjord."
Nature,A wall of thunderclouds rolling across open prairie just before a summer storm.
Nature,"Rain falling in silver sheets over a quiet mountain cabin, lit warmly from within."
Nature,A bolt of lightning striking the ocean surface under a turbulent purple sky.
Nature,"A golden retriever bounding through autumn leaves, mouth open in pure joy."
Nature,"A tabby cat perched on a sunlit windowsill, watching raindrops race down the glass."
Nature,A small red fox peeking out from behind tall meadow grass in the golden hour light.
Nature,Close-up of a honeybee collecting pollen from a vibrant sunflower.
Nature,"A tiny hummingbird mid-flight, wings frozen in sharp detail, sipping from a red hibiscus."
Nature,Dew-covered spiderweb glistening in the soft morning sun.
Nature,A field of lavender swaying gently in the breeze under a peach-colored sunset.
Nature,Wildflowers blooming along a rocky alpine trail in early spring.
Nature,"A single white lotus floating on a still pond, framed by soft ripples."
Nature,"Bright tulips after a light rain, each petal beaded with water droplets."
Cityscapes and structures,"A grand Gothic cathedral illuminated at night, its intricate spires casting long shadows."
Cityscapes and structures,"A modern glass skyscraper reflecting a sunset skyline, with passing clouds mirrored in its façade."
Cityscapes and structures,"An ancient stone bridge over a quiet canal, lined with ivy-covered buildings."
Cityscapes and structures,A cozy street café tucked beneath the arches of a 19th-century building.
Cityscapes and structures,A luxurious seaside villa with floor-to-ceiling windows opening onto a private infinity pool.
Cityscapes and structures,"An urban loft apartment with exposed brick walls, industrial lighting, and large arched windows."
Cityscapes and structures,"A rustic countryside cottage with a thatched roof, surrounded by blooming gardens."
Cityscapes and structures,A sleek penthouse balcony overlooking a glittering night skyline.
Cityscapes and structures,A top-down view of a bustling city square with colorful market stalls and winding streets.
Cityscapes and structures,An aerial shot of a coastal city where high-rises meet a turquoise shoreline.
Cityscapes and structures,"A bird’s-eye view of a busy highway interchange, lit by streams of car headlights at dusk."
Cityscapes and structures,A panoramic aerial view of a mountain city surrounded by autumn foliage.
Cityscapes and structures,A foggy morning skyline where only the tallest towers emerge above the mist.
Cityscapes and structures,"A vibrant downtown street at night, neon lights reflecting on wet pavement."
Cityscapes and structures,"A historic European plaza with ornate fountains, bustling with pedestrians."
Cityscapes and structures,A narrow alleyway lined with colorful murals and hanging lanterns.
Cityscapes and structures,A futuristic megacity with flying vehicles weaving between colossal towers.
Cityscapes and structures,"A quiet suburban street lined with identical houses, each with a small manicured garden."
Cityscapes and structures,"A derelict industrial factory reclaimed by nature, vines crawling over rusted beams."
Cityscapes and structures,A drone shot of a desert city where golden sand dunes meet sprawling urban development.
People,"A close-up portrait of an elderly man with deep-set eyes and a weathered face, lit by warm window light."
People,"A studio headshot of a young woman in a crisp white shirt, with soft shadows and a clean backdrop."
People,"A candid photo of a child laughing, cheeks flushed, strands of hair catching the sunlight."
People,A dramatic black-and-white portrait of a jazz musician holding his saxophone.
People,"A runway model walking in a flowing silk gown, spotlights catching the shimmering fabric."
People,"A street-style shot of a man in a tailored suit and sneakers, leaning casually against a graffiti wall."
People,"A high-fashion editorial image with bold makeup, oversized accessories, and a surreal backdrop."
People,"A cozy autumn fashion shoot in a park, with models wrapped in chunky knit scarves."
People,"A soccer player mid-air, striking the ball towards goal, dirt flying from the field."
People,"A swimmer diving into a crystal-clear pool, caught at the exact moment before breaking the water’s surface."
People,"A skateboarder performing a trick off a stair set, frozen in sharp focus against the city skyline."
People,A sprinter exploding out of the starting blocks under stadium lights.
People,"An elderly couple walking hand-in-hand down a rainy city street, sharing a single umbrella."
People,A fruit vendor smiling behind a colorful market stall in a bustling alleyway.
People,"A street musician playing violin at sunset, with passersby stopping to listen."
People,"A group of teenagers laughing together on a curbside, holding ice cream cones."
People,A bride and groom sharing a quiet moment under a canopy of fairy lights.
People,A traditional wedding procession with vibrant attire and floral garlands.
People,A candid shot of guests dancing joyfully at a wedding reception.
People,A child scattering flower petals down an outdoor wedding aisle.
Commercial,"A perfectly plated gourmet burger with melted cheddar, fresh lettuce, and sesame bun, steam rising under warm studio lights."
Commercial,"An ice-cold glass of lemonade with condensation droplets, placed on a rustic wooden table with sliced lemons beside it."
Commercial,"A top-down view of a colorful breakfast spread — croissants, fresh berries, coffee, and a vase of flowers."
Commercial,"A decadent chocolate cake slice on a white porcelain plate, surrounded by cocoa powder and broken chocolate pieces."
Commercial,"A steaming bowl of ramen with vibrant toppings, photographed with shallow depth of field."
Commercial,A sleek smartphone displayed on a reflective black surface with glowing neon accents.
Commercial,"A luxury wristwatch resting on a leather-bound notebook, with soft directional lighting highlighting its details."
Commercial,A pair of high-end headphones placed next to a laptop on a clean minimalist desk.
Commercial,"A sports shoe mid-motion, captured with a splash of water for a dynamic effect."
Commercial,A designer perfume bottle surrounded by petals and soft golden backlighting.
Commercial,"An open hardcover book on a cozy armchair, with a cup of tea and a blanket draped nearby."
Commercial,A stack of colorful children’s books on a bright wooden table with crayons scattered around.
Commercial,"A fantasy novel placed on moss and stone, with magical glowing light effects around it."
Commercial,A book cover mockup leaning against a stack of old classics on a library shelf.
Commercial,"A yoga mat, water bottle, and workout gear arranged in soft natural sunlight."
Commercial,A travel backpack on a mountain ledge with a sweeping valley view behind it.
Commercial,"A candle and essential oil diffuser set on a wooden shelf, surrounded by green plants."
Commercial,A set of premium kitchen knives displayed against a background of fresh vegetables.
Commercial,"A sunglasses ad shot with a model on a sunny beach, golden reflections in the lenses."
Commercial,A luxury car parked in front of a modern glass building at twilight.
Artistic,"A rustic still life of fresh pears, a ceramic jug, and a folded linen cloth on a weathered wooden table."
Artistic,"A painter’s desk scattered with brushes, paint tubes, and a half-finished canvas."
Artistic,"A vintage typewriter with an unfinished letter, next to a vase of wilting roses."
